Type,Name,Length,Width,Quantity,Notes,Can Rotate (https://feature-panel-rotation.maxcutsoftware.com),Material,Edging Length 1,Edging Length 2,Edging Width 1,Edging Width 2,Include Edging Thickness,Note 1,Note 2,Note 3,Note 4,Group,Report Tags,Import ID,Parent ID,Library Item Name,Holes Length 1,Holes Length 2,Holes Width 1,Holes Width 2,Grooving Length 1,Grooving Length 2,Grooving Width 1,Grooving Width 2,Material Tag,Edging Length 1 Tag,Edging Length 2 Tag,Edging Width 1 Tag,Edging Width 2 Tag,Apply Machining Charge,Long Expansion,Short Expansion,Include in Optimization
,MBR W2 D FACIA,409,144,4,,,16MR FABRIC+FABRIC,2MM FABRIC,2MM FABRIC,2MM FABRIC,2MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR LOFT FILLER,2398,120,2,,,16MR 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR LOFT FILLER,2398,75,2,,,16MR 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR LOFT DOOR,494,561,1,,,16HD 0118 SGP+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR LOFT DOOR,494,469,2,,,16HD 0118 SGP+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR LOFT DOOR,494,449,4,,,16HD 0118 SGP+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR LOFT BOTTOM,1100,578,2,,,16MR 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR LOFT PATTA,2400,100,6,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR BASE   SP-G,400,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR BASE   SP-G,400,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR BASE   TOP-G,908,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR BASE   BOT-G,908,578,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR BASE   BACK,269,925,1,,,6MR FABRIC+FABRIC,,,,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR BASE DOOR,288,469,2,,,16HD 0102 SGP+FABRIC,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBR BASE EXTARA TOP,947,596,1,,,16MR 0102 SGP+FABRIC,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, GBR W2  SP-G,2096,481,1,,,16MR 0118 SGP+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
, GBR W2  SP-G,2096,596,1,,,16MR FABRIC+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  TOP-G,1898,596,1,,,16MR FABRIC+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  BOT-G,1898,596,1,,,16MR FABRIC+FABRIC,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,2MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  VP G+G,1952,498,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  BACK,1969,955,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  BACK,1969,955,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  FS,938,473,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  RS,937,473,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  FS,938,358,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  RS,937,358,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  DOOR,1986,977,2,,,16HD 0102 SGP+FABRIC CNC,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,2MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  SKT,2398,108,1,,,16MR 0118 SGP+FABRIC,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,0.8MM 0118 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  D DUMMY,148,455,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  D DUMMY,148,68,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBR W2  D DUMMY,148,473,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
