Type,Name,Length,Width,Quantity,Notes,Can Rotate (https://feature-panel-rotation.maxcutsoftware.com),Material,Edging Length 1,Edging Length 2,Edging Width 1,Edging Width 2,Include Edging Thickness,Note 1,Note 2,Note 3,Note 4,Group,Report Tags,Import ID,Parent ID,Library Item Name,Holes Length 1,Holes Length 2,Holes Width 1,Holes Width 2,Grooving Length 1,Grooving Length 2,Grooving Width 1,Grooving Width 2,Material Tag,Edging Length 1 Tag,Edging Length 2 Tag,Edging Width 1 Tag,Edging Width 2 Tag,Apply Machining Charge,Long Expansion,Short Expansion,Include in Optimization
,KBR W2  LOFT DOOR,484,444,2,,,16HD 269 SMT+FABRIC,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR W2  LOFT DOOR,484,370,1,,,16HD 269 SMT+FABRIC,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR WALL SIDE,1611,346,1,,,16MR 269 SMT+269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR WALL SIDE,1611,346,1,,,16MR 269 SMT+FABRIC,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR WALL TOP,404,346,1,,,16MR 269 SMT+269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR WALL BOTTM,404,346,1,,,16MR 269 SMT+FABRIC,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR WALL 16MM BACK,1573,406,1,,,16MR 269 SMT+FABRIC,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,0.8MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR WALL FS,404,327,3,,,16MR 269 SMT+269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR BASE STD TOP,1512,596,1,,,16MR 269 SMT+269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KBR WALL 16MM BACK,1575,316,1,,,16MR 269 SMT+FABRIC,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,2MM 269 SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH TALL   SP-G,2098,428,1,,,16BWP 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH TALL   SP-G,2098,428,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH TALL   TOP-G,358,428,1,,,16BWP 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH TALL   BOT-G,358,428,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH TALL  6MM BACK,1969,373,1,,,6BWP FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH TALL   FS,358,380,2,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH TALL   RS,357,380,2,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   SP-,798,428,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   SP-,798,428,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   BOT-,738,428,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE  RIPPR,738,100,4,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   DOOR,656,384,2,,,16BWP 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE  SKARTIG,1300,109,1,,,16BWP 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE  FILLR,2400,75,1,,,16BWP 0102 SGP+FABRIC,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,0.8MM 0102 SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 1 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 1 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 1 TOP-G,408,533,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 1 BOT-G,408,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 1 BACK 6MM ,679,425,1,,,6BWP FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 1 DOOR,670,445,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 1 RS,407,500,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 2 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 2 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 2 TOP-G,168,533,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 2 BOT-G,168,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 2 BACK 6MM ,679,183,1,,,6BWP FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 2 DOOR,670,215,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 TOP-G,708,533,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 BOT-G,708,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 6MM BACK,679,725,1,,,6BWP FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 TEN BOT,640,500,3,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 TEN BACK,630,90,2,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 TEN BACK,630,200,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 FACIYA,322,745,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 3 FACIYA ,157,745,2,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 SIDE-G,698,478,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 TOP-G,938,938,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 BOT-G,938,938,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 BACK 18MM ,938,658,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 BACK 18MM ,918,658,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 RS,918,918,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 DOOR,670,395,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 4 DOOR,670,375,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 SIDE-G,698,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 TOP-G,558,553,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 BOT-G,558,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 6MM BACK,679,575,1,,,6BWP FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 TEN BOT,490,500,2,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 TEN BACK,480,200,2,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT BASE 5 TEN FACIYA,322,595.4,2,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   SP-,808,558,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   SP-,798,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   BOT-,808,558,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE  RIPPR,808,100,4,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE   DOOR,670,419,2,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE  SKARTIG,2400,109,2,,,16HD MRK 544 AR+FABRIC,1.3MM 544 AR,1.3MM 544 AR,1.3MM 544 AR,1.3MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WASH BASE  FILLR,2400,75,1,,,16HD MRK 544 AR+FABRIC,1.3MM 544 AR,1.3MM 544 AR,1.3MM 544 AR,1.3MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 1 SIDE-G,748,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 1 SIDE-G,748,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 1 TOP-G,323,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 1 BOTTM-G,323,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 1 6MM BACK,725,338,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 1 RS,321,250,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 1 DOOR,745.4,361,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 2 SIDE-G,748,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 2 SIDE-G,748,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 2 TOP-G,358,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 2 BOTTM-G,358,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 2 6MM BACK,725,375,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 2 RS,357,250,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 3 SIDE-G,748,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 3 SIDE-G,748,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 3 TOP-G,358,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 3 BOTTM-G,358,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 3 6MM BACK,725,375,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 3 RS,357,250,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 4 SIDE-G,748,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 4 SIDE-G,748,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 4 TOP-G,323,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 4 BOTTM-G,323,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 4 6MM BACK,725,338,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 4 RS,321,250,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 4 DOOR,745.4,360,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 SIDE-G,748,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 SIDE,748,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 TOP G-260 ,843,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 BOTTM-G,260,298,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 RIPPR,561,100,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 VP,728,298,1,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 6MM BACK,725,275,1,,,6MR FABRIC+FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 RS,260,250,2,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT WALL 5 DOOR,745.4,437,2,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT LOFT BOT,1200,478,2,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT LOFT DOOR,465,359,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT LOFT DOOR,465,395,4,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT LOFT DOOR,465,339,1,,,16PRL MRK 544 AR+FABRIC,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,1.3MM PRL AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT LOFT PATTA,2440,100,5,,,16MR FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT LOFT SIDE,600,478,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN SIDE,798,558,1,,,16HD MRK 544 AR+MRK 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN SIDE,798,558,1,,,16HD MRK 544 AR+MRK 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN TOP,558,558,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN BOT,558,558,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN FS,558,540,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN 16MM BACK,688,558,1,,,16HD MRK 544 AR+FABRIC,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,0.8MM 544 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN TEN BOT,490,500,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIT OVEN TEN BACK,480,200,1,,,16BWP FABRIC+FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,0.8MM FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
